original,generated,similarity
Share my location with Hillary's sister,Share my location with Emily's sister,0.7414776086807251
Share my location with Hillary's sister,Share my location with Rachel's sister,0.7415555119514465
Share my location with Hillary's sister,Share my location with Megan's sister,0.752455472946167
Share my location with Hillary's sister,Share my location with Jessica's sister,0.7505614757537842
Share my location with Hillary's sister,Share my location with Eric's sister,0.7573699355125427
Share my location with Hillary's sister,Share my location with Sarah's sister,0.7498714923858643
Share my location with Hillary's sister,Share my location with Laura's sister,0.7521885633468628
Send my current location to my father,Send my exact location to my father,0.9250024557113647
Send my current location to my father,Send my birth location to my father,0.8710629940032959
Send my current location to my father,Send my GPS location to my father,0.8995832800865173
Send my current location to my father,Send my approximate location to my father,0.9489315748214722
Send my current location to my father,Send my precise location to my father,0.9251172542572021
Send my current location to my father,Send my current location to my father,1.0
Send my current location to my father,Send my email location to my father,0.9075214862823486
Share my current location with Jim,Share my exact location with Jim,0.9224203824996948
Share my current location with Jim,Share my approximate location with Jim,0.9265284538269043
Share my current location with Jim,Share my current location with Jim,1.0000001192092896
Share my current location with Jim,Share my GPS location with Jim,0.9083268642425537
Share my current location with Jim,Share my new location with Jim,0.9132514595985413
Share my current location with Jim,Share my vacation location with Jim,0.8525365591049194
Share my current location with Jim,Share my next location with Jim,0.8977535367012024
Send my location to my husband,Send my location to my editor,0.6239374876022339
Send my location to my husband,Send my location to my ISP,0.6734334826469421
Send my location to my husband,Send my location to my supervisor,0.7577357888221741
Send my location to my husband,Send my location to my inbox,0.7275761961936951
Send my location to my husband,Send my location to my landlord,0.6561443209648132
Send my location to my husband,Send my location to my friends,0.767066240310669
Send my location to my husband,Send my location to my server,0.6480523347854614
Send my location,Send my email,0.6457540988922119
Send my location,Send my thoughts,0.5086666941642761
Send my location,Send my feedback,0.4603320360183716
Send my location,Send my message,0.5831342935562134
Send my location,Send my Email,0.6457540988922119
Send my location,Send my photos,0.6504706740379333
Send my location,Send my questions,0.5460763573646545
Always share my location with Lori,Always share my location with me,0.7594097852706909
Always share my location with Lori,Always share my location with friends,0.725357174873352
Always share my location with Lori,Always share my location with us,0.7779139876365662
Always share my location with Lori,Always share my location with others,0.7371279001235962
Always share my location with Lori,Always share my location with you,0.7629593014717102
Always share my location with Lori,Always share my location with!,0.7755840420722961
Always share my location with Lori,Always share my location with 🙂,0.7584566473960876
Send my current location to Anna,Send my current thoughts to Anna,0.5416589975357056
